date_month,partner_area_name,name_city,zonas,zonas_santiago,vertical,total_confirmed_order,total_active_users,total_failed_order,total_failed_active_users,total_confirmed_orders_plus,total_plus_active_users,total_failed_orders_plus,total_failed_plus_active_users,total_GFV,total_GFV_PLUS,total_GFV_NO_PLUS,total_GMV,total_GMV_PLUS,total_GMV_NO_PLUS
2023-03-01,Santo Domingo,Santo Domingo,other,Regiones,food,176,90,4,4,26,5,0,5,2587220,476580,2110640,2937895,497015,2440880
2023-03-01,Penco,Gran Concepción,Sur,Regiones,food,76,58,6,6,5,4,0,4,775155,40870,734285,850155,46870,803285
2022-09-01,Teno,Curicó,Sur,Regiones,food,5,2,0,0,0,0,0,0,60470,,60470,66361,,66361
2023-07-01,Villarrica,Temuco,Sur,Regiones,food,47,37,1,1,3,3,0,3,988186,62300,925886,1078396,69020,1009376
2021-01-01,Purto Toro,Puerto Montt,Sur,Regiones,food,15,10,4,4,0,0,0,0,206150,,206150,236150,,236150
2023-03-01,Cunco,Temuco,Sur,Regiones,food,3,1,0,0,0,0,0,0,27350,,27350,32590,,32590
2021-09-01,Arauco,Lebu,other,Regiones,dmart,1,1,0,0,0,0,0,0,8560,,8560,10750,,10750
2021-09-01,Teno,Maule,other,Regiones,food,6,3,0,0,0,0,0,0,62210,,62210,69370,,69370
2022-10-01,Victoria,Angol,other,Regiones,food,7,4,5,5,0,0,0,0,127500,,127500,136500,,136500
2023-11-01,Pichilemu,Pichilemu,other,Regiones,food,30,24,2,2,7,3,0,3,406155,117010,289145,462695,131090,331605
2022-11-01,Baquedano,Baquedano,other,Regiones,food,3,1,0,0,0,0,0,0,35520,,35520,40472,,40472
2024-06-01,Laja,Biobío,Sur,Regiones,food,5,2,0,0,0,0,0,0,70580,,70580,77540,,77540
2021-09-01,Penco,Gran Concepción,Sur,Regiones,non_food,2,2,0,0,0,0,0,0,9400,,9400,12400,,12400
2023-11-01,Salamanca,Coquimbo,Norte,Regiones,food,0,0,3,1,0,0,0,0,,,,,,
